Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.6838586437440306,0.7055393586005831,0.5127118644067796,0.5938650306748466,0.7752505526897568,Analysis_Window,Raw,Baseline,Full Feature Set,2240
Logistic Regression,0.7659980897803247,0.8309037900874635,0.6038135593220338,0.6993865030674846,0.834406779661017,Analysis_Window,Raw,Baseline,Full Feature Set,2240
SVM,0.6781279847182426,0.7547169811320755,0.423728813559322,0.5427408412483039,0.7728260869565219,Analysis_Window,Raw,Feature Family (Omit),Omit Time-Domain,1216
Logistic Regression,0.7058261700095511,0.7679738562091504,0.4978813559322034,0.6041131105398457,0.795051584377303,Analysis_Window,Raw,Feature Family (Omit),Omit Time-Domain,1216
SVM,0.6876790830945558,0.6964769647696477,0.5444915254237288,0.6111771700356718,0.7671665438467208,Analysis_Window,Raw,Feature Family (Omit),Omit Hjorth,2048
Logistic Regression,0.7640878701050621,0.7750611246943765,0.6716101694915254,0.7196367763904654,0.8295320560058952,Analysis_Window,Raw,Feature Family (Omit),Omit Hjorth,2048
SVM,0.609360076408787,0.5781637717121588,0.4936440677966102,0.5325714285714286,0.7030692704495209,Analysis_Window,Raw,Feature Family (Omit),Omit Spectral,1408
Logistic Regression,0.7497612225405922,0.8,0.5932203389830508,0.681265206812652,0.8012711864406779,Analysis_Window,Raw,Feature Family (Omit),Omit Spectral,1408
SVM,0.6829035339063992,0.6988636363636364,0.5211864406779662,0.5970873786407767,0.7721554900515845,Analysis_Window,Raw,Feature Family (Omit),Omit Entropy,2048
Logistic Regression,0.7507163323782235,0.8112094395280236,0.5826271186440678,0.6781750924784217,0.8276013264554163,Analysis_Window,Raw,Feature Family (Omit),Omit Entropy,2048
SVM,0.6542502387774594,0.5932203389830508,0.7415254237288136,0.6591337099811676,0.6751031687546057,Analysis_Window,Raw,Feature Family (Isolate),Only Time-Domain,1024
Logistic Regression,0.6198662846227316,0.5598705501618123,0.7330508474576272,0.634862385321101,0.7123028739867354,Analysis_Window,Raw,Feature Family (Isolate),Only Time-Domain,1024
SVM,0.5262655205348615,0.46226415094339623,0.3114406779661017,0.3721518987341772,0.5626639646278556,Analysis_Window,Raw,Feature Family (Isolate),Only Hjorth,192
